*?ḱleys-	'hängenbleiben, haften'	IEW –
*ḱlew-	'hören'	IEW 605-7
*ḱlewH-	'reinigen'	IEW 607
*ḱlews-	'(zu)hören'	IEW 606-7
*?ḱnetḫ-	'stoßen, stechen'	IEW –
*ḱreyH-	'sich auszeichnen, vortrefflich sein'	IEW 618
*ḱremḫ-	'schlaff werden'	IEW 573
*ḱretḫ-	'sich lockern'	IEW 620
*?ḱsed-	'zerlegen, auftischen'	IEW –
*?ḱweH-	'werfen'	IEW –
*ḱweħ-	'anschwellen'	IEW 592-4
*ḱweyt-	'hell aufleuchten'	IEW 628-9
*ḱwenk-	'hoch- oder herunterbiegen'	IEW 629
*ḱwes-	'schnaufen, schnauben, seufzen'	IEW 631-2
*(ḱ)agʰ-	'(ein)fassen'	IEW 518
*kamp-	'krümmen, biegen'	IEW 525
*(ḱ)an-	'singen, klingen'	IEW 525-6
*?keħw-	'wackeln'	IEW 595
*keḫ-	'begehren'	IEW 515
*k(ᵂ)eḫ-	'graben'	IEW 634 Anm.]
*?k(ᵂ)eḫd-	'reißen, drücken'	IEW –
*keḫp-	'fassen, schnappen'	IEW 527-8
*keḫw-	'anzünden, verbrennen'	IEW 595
*keḫw-	'schlagen, spalten'	IEW 535
*(ḱ)eyḫ-	'sich in Bewegung setzen'	IEW 538
*?keyt-	'hell sein, glänzen, leuchten'	IEW 916-7
*?k(ᵂ)ek(ᵂ)-	'greifen nach, erreichen'	IEW 522
*kel-	'antreiben'	IEW 548
*kelH-	'aufragen, hochragen'	IEW 544
*(ḱ)elħ-	'verlocken, betören, betrügen'	IEW 551
*kelḫ-	'schlagen'	IEW 545-6
*kem-	'pressen, drücken (?)'	IEW 555
*?k(ᵂ)emp-	'zittern, beben'	IEW 525
*ken-	'entspringen, beginnen'	IEW 563-4
*?(ḱ)end-	'sich auszeichnen'	IEW 516-7
*?k(ᵂ)enH-	'Gefallen finden, in Freude geraten'	IEW 515
*kenħ-	'sich bemühen, sich anstrengen'	IEW 564
*?k(ᵂ)erd-	'hören'	IEW 531
*kerH-	'rühmend gedenken'	IEW 530-1
*kerH-	'hängen'	IEW 573
*kerH-	'ausstreuen, schütten'	IEW 933-5
*k(ᵂ)erḱ-	'abmagern'	IEW 581
*(ḱ)ers-	'laufen'	IEW 583
*kers-	'(ab)schneiden'	IEW 945
*kert-	'drehen, spinnen'	IEW 584
*k(ᵂ)ert-	'binden'	IEW 584
*kes-	'ordnen'	IEW 585
*?k(ᵂ)et-	'entweichen'	IEW –
